representation,split_seed,algorithm_A,algorithm_B,MAE_A,MAE_B,delta_MAE_B_minus_A
physchem10,1,svr,rf,0.30555437722465401,0.32232684383786481,0.016772466613210801
physchem10,2,svr,rf,0.30805911903879241,0.31703274607024901,0.0089736270314565991
physchem10,3,svr,rf,0.31693691497401888,0.3306218485852776,0.013684933611258721
physchem10,4,svr,rf,0.30732316598474868,0.30395768031091269,-0.0033654856738359884
physchem10,5,svr,rf,0.29880334304393152,0.3098911307183696,0.011087787674438077
physchem10,1,svr,et,0.30555437722465401,0.2952480083991556,-0.010306368825498402
physchem10,2,svr,et,0.30805911903879241,0.29241482449871992,-0.01564429454007249
physchem10,3,svr,et,0.31693691497401888,0.30029538605792228,-0.016641528916096604
physchem10,4,svr,et,0.30732316598474868,0.29150641038244418,-0.0158167556023045
physchem10,5,svr,et,0.29880334304393152,0.2828431326333587,-0.015960210410572828
physchem10,1,svr,xgb,0.30555437722465401,0.33098269043756828,0.025428313212914277
physchem10,2,svr,xgb,0.30805911903879241,0.33926175587969781,0.031202636840905407
physchem10,3,svr,xgb,0.31693691497401888,0.33512571978494837,0.018188804810929493
physchem10,4,svr,xgb,0.30732316598474868,0.31942050853217829,0.012097342547429613
physchem10,5,svr,xgb,0.29880334304393152,0.32070897539602428,0.021905632352092752
physchem10,1,rf,et,0.32232684383786481,0.2952480083991556,-0.027078835438709203
physchem10,2,rf,et,0.31703274607024901,0.29241482449871992,-0.024617921571529089
physchem10,3,rf,et,0.3306218485852776,0.30029538605792228,-0.030326462527355325
physchem10,4,rf,et,0.30395768031091269,0.29150641038244418,-0.012451269928468511
physchem10,5,rf,et,0.3098911307183696,0.2828431326333587,-0.027047998085010905
physchem10,1,rf,xgb,0.32232684383786481,0.33098269043756828,0.0086558465997034761
physchem10,2,rf,xgb,0.31703274607024901,0.33926175587969781,0.022229009809448808
physchem10,3,rf,xgb,0.3306218485852776,0.33512571978494837,0.0045038711996707725
physchem10,4,rf,xgb,0.30395768031091269,0.31942050853217829,0.015462828221265601
physchem10,5,rf,xgb,0.3098911307183696,0.32070897539602428,0.010817844677654676
physchem10,1,et,xgb,0.2952480083991556,0.33098269043756828,0.03573468203841268
physchem10,2,et,xgb,0.29241482449871992,0.33926175587969781,0.046846931380977896
