representation,algorithm_A,algorithm_B,mean_delta_MAE,sd_delta_MAE,n_splits_favor_B,n_splits_favor_A
physchem10,svr,rf,0.0094306658513056418,0.0077249152693544569,1,4
physchem10,svr,et,-0.014873831658908964,0.0025811532177498525,5,0
physchem10,svr,xgb,0.021764545952854309,0.0072242889254749351,0,5
physchem10,rf,et,-0.024304497510214608,0.0069297375087360837,5,0
physchem10,rf,xgb,0.012333880101548667,0.0067977798126066897,0,5
physchem10,et,xgb,0.036638377611763272,0.00681762387613233,0,5
rdkit2d,svr,rf,-0.011170202059881441,0.010500488265626145,4,1
rdkit2d,svr,et,-0.021754968410810392,0.0095761156110489229,5,0
rdkit2d,svr,xgb,-0.021390039495844969,0.020423025257930248,4,1
rdkit2d,rf,et,-0.010584766350928953,0.0043363786869114436,5,0
rdkit2d,rf,xgb,-0.01021983743596353,0.016323733466783685,4,1
rdkit2d,et,xgb,0.00036492891496542335,0.018420926234913166,2,3
morgan_r2_2048,svr,rf,0.019327750508155994,0.02844381398565006,1,4
morgan_r2_2048,svr,et,0.0023080047828951565,0.016387605238163256,2,3
morgan_r2_2048,svr,xgb,0.017110053389962208,0.040075152861066526,1,4
morgan_r2_2048,rf,et,-0.017019745725260837,0.012985553998208063,4,1
morgan_r2_2048,rf,xgb,-0.0022176971181937844,0.028407649609159917,2,3
morgan_r2_2048,et,xgb,0.014802048607067053,0.032064283051210576,1,4
