representation,algorithm_B,split_seed,MAE_Ridge,MAE_B,delta_MAE_B_minus_Ridge
physchem10,svr,1,0.3700808177653096,0.30555437722465401,-0.064526440540655594
physchem10,svr,2,0.37156054770269531,0.30805911903879241,-0.063501428663902904
physchem10,svr,3,0.36387236695774511,0.31693691497401888,-0.046935451983726229
physchem10,svr,4,0.36210783427792981,0.30732316598474868,-0.054784668293181127
physchem10,svr,5,0.37211817731036712,0.29880334304393152,-0.073314834266435591
physchem10,rf,1,0.3700808177653096,0.32232684383786481,-0.047753973927444793
physchem10,rf,2,0.37156054770269531,0.31703274607024901,-0.054527801632446304
physchem10,rf,3,0.36387236695774511,0.3306218485852776,-0.033250518372467508
physchem10,rf,4,0.36210783427792981,0.30395768031091269,-0.058150153967017115
physchem10,rf,5,0.37211817731036712,0.3098911307183696,-0.062227046591997515
physchem10,et,1,0.3700808177653096,0.2952480083991556,-0.074832809366153996
physchem10,et,2,0.37156054770269531,0.29241482449871992,-0.079145723203975393
physchem10,et,3,0.36387236695774511,0.30029538605792228,-0.063576980899822833
physchem10,et,4,0.36210783427792981,0.29150641038244418,-0.070601423895485627
physchem10,et,5,0.37211817731036712,0.2828431326333587,-0.089275044677008419
physchem10,xgb,1,0.3700808177653096,0.33098269043756828,-0.039098127327741317
physchem10,xgb,2,0.37156054770269531,0.33926175587969781,-0.032298791822997497
physchem10,xgb,3,0.36387236695774511,0.33512571978494837,-0.028746647172796735
physchem10,xgb,4,0.36210783427792981,0.31942050853217829,-0.042687325745751514
physchem10,xgb,5,0.37211817731036712,0.32070897539602428,-0.051409201914342839
rdkit2d,svr,1,0.37668245392906441,0.3329441669087071,-0.043738287020357314
rdkit2d,svr,2,0.3848847574104432,0.32610983319254749,-0.058774924217895708
rdkit2d,svr,3,0.45684862383221397,0.32671223962843982,-0.13013638420377416
rdkit2d,svr,4,0.38488806870118603,0.31116497624290201,-0.073723092458284012
rdkit2d,svr,5,0.37599327424515072,0.30041394914220038,-0.075579325102950345
rdkit2d,rf,1,0.37668245392906441,0.31236170704167709,-0.064320746887387314
rdkit2d,rf,2,0.3848847574104432,0.31037567069480798,-0.07450908671563522
rdkit2d,rf,3,0.45684862383221397,0.3069931564990801,-0.14985546733313387
rdkit2d,rf,4,0.38488806870118603,0.30970052162805711,-0.075187547073128913
rdkit2d,rf,5,0.37599327424515072,0.30206309895176731,-0.073930175293383416
rdkit2d,et,1,0.37668245392906441,0.30369693732081798,-0.072985516608246426
rdkit2d,et,2,0.3848847574104432,0.3005622482072649,-0.084322509203178297
rdkit2d,et,3,0.45684862383221397,0.29665366145054972,-0.16019496238166425
rdkit2d,et,4,0.38488806870118603,0.3034164770103786,-0.081471591690807421
rdkit2d,et,5,0.37599327424515072,0.28424099907173361,-0.091752275173417108
rdkit2d,xgb,1,0.37668245392906441,0.31075698522315393,-0.065925468705910484
rdkit2d,xgb,2,0.3848847574104432,0.27317944668280641,-0.11170531072763679
rdkit2d,xgb,3,0.45684862383221397,0.30653228796269338,-0.15031633586952059
rdkit2d,xgb,4,0.38488806870118603,0.29566782964370231,-0.089220239057483719
rdkit2d,xgb,5,0.37599327424515072,0.30425841812321591,-0.071734856121934809
