algorithm,split_seed,representation_A,representation_B,MAE_A,MAE_B,delta_MAE_B_minus_A
svr,1,physchem10,rdkit2d,0.30555437722465401,0.3329441669087071,0.02738978968405309
svr,2,physchem10,rdkit2d,0.30805911903879241,0.32610983319254749,0.018050714153755087
svr,3,physchem10,rdkit2d,0.31693691497401888,0.32671223962843982,0.009775324654420936
svr,4,physchem10,rdkit2d,0.30732316598474868,0.31116497624290201,0.0038418102581533331
svr,5,physchem10,rdkit2d,0.29880334304393152,0.30041394914220038,0.0016106060982688519
svr,1,physchem10,morgan_r2_2048,0.30555437722465401,0.40189501424392271,0.096340637019268704
svr,2,physchem10,morgan_r2_2048,0.30805911903879241,0.40507126074045779,0.097012141701665389
svr,3,physchem10,morgan_r2_2048,0.31693691497401888,0.41445533288149661,0.097518417907477728
svr,4,physchem10,morgan_r2_2048,0.30732316598474868,0.40824590223925039,0.10092273625450171
svr,5,physchem10,morgan_r2_2048,0.29880334304393152,0.4157755144546354,0.11697217141070387
svr,1,rdkit2d,morgan_r2_2048,0.3329441669087071,0.40189501424392271,0.068950847335215615
svr,2,rdkit2d,morgan_r2_2048,0.32610983319254749,0.40507126074045779,0.078961427547910301
svr,3,rdkit2d,morgan_r2_2048,0.32671223962843982,0.41445533288149661,0.087743093253056792
svr,4,rdkit2d,morgan_r2_2048,0.31116497624290201,0.40824590223925039,0.097080925996348377
svr,5,rdkit2d,morgan_r2_2048,0.30041394914220038,0.4157755144546354,0.11536156531243502
rf,1,physchem10,rdkit2d,0.32232684383786481,0.31236170704167709,-0.0099651367961877124
rf,2,physchem10,rdkit2d,0.31703274607024901,0.31037567069480798,-0.0066570753754410239
rf,3,physchem10,rdkit2d,0.3306218485852776,0.3069931564990801,-0.0236286920861975
rf,4,physchem10,rdkit2d,0.30395768031091269,0.30970052162805711,0.0057428413171444204
rf,5,physchem10,rdkit2d,0.3098911307183696,0.30206309895176731,-0.0078280317666022947
rf,1,physchem10,morgan_r2_2048,0.32232684383786481,0.42301222312134151,0.10068537928347671
rf,2,physchem10,morgan_r2_2048,0.31703274607024901,0.41133218583597431,0.094299439765725301
rf,3,physchem10,morgan_r2_2048,0.3306218485852776,0.47827970563990152,0.14765785705462392
rf,4,physchem10,morgan_r2_2048,0.30395768031091269,0.42725127903543891,0.12329359872452622
