algorithm,representation_A,representation_B,mean_delta_MAE,sd_delta_MAE,n_splits_favor_B,n_splits_favor_A,n_ties
svr,physchem10,rdkit2d,0.01213364896973026,0.010639692241282372,0,5,0
svr,physchem10,morgan_r2_2048,0.10175322085872347,0.0086892694170737257,0,5,0
svr,rdkit2d,morgan_r2_2048,0.089619571888993221,0.017766790777137269,0,5,0
rf,physchem10,rdkit2d,-0.0084672189414568225,0.010460939469586129,4,1,0
rf,physchem10,morgan_r2_2048,0.11165030551557384,0.023596803065234203,0,5,0
rf,rdkit2d,morgan_r2_2048,0.12011752445703065,0.029498288793650441,0,5,0
et,physchem10,rdkit2d,0.0052525122178288305,0.0062627143834557333,1,4,0
et,physchem10,morgan_r2_2048,0.1189350573005276,0.014738565501942106,0,5,0
et,rdkit2d,morgan_r2_2048,0.11368254508269877,0.01984156400467682,0,5,0
xgb,physchem10,rdkit2d,-0.03102093647896902,0.020105056406236076,5,0,0
xgb,physchem10,morgan_r2_2048,0.097098728295831382,0.037830260359389467,0,5,0
xgb,rdkit2d,morgan_r2_2048,0.12811966477480041,0.043103449298759068,0,5,0
