experiment_id,representation,algorithm,best_candidate_id,mean_validation_MAE,sd_validation_MAE,primary_MAE_mean,primary_MAE_sd,primary_n_runs,secondary_MAE_mean,secondary_MAE_sd,secondary_n_runs
B00_NULL_MEAN,none,null,NULL,0.65730489565097372,0.022200691049933899,0.56436140645211941,0.0016350294887601,5,0.56548419314696297,,1
B01_NULL_MEDIAN,none,null,NULL,0.63421733780219758,0.010975435921554999,0.58234486604395608,0.0031211598249338002,5,0.5855907005494505,,1
B10_PC10_RIDGE,physchem10,ridge,RIDGE_07,0.45593374445609658,0.026676608184471599,0.3679479488028094,0.0046289337775405996,5,0.36694462391220589,,1
B11_PC10_SVR,physchem10,svr,SVR_03,0.38869190235627321,0.0524153612226093,0.30733538405322908,0.0064938633867130998,5,0.29816194914869087,,1
B12_PC10_RF,physchem10,rf,RF_04,0.36800001624379358,0.067972104661752603,0.31676604990453477,0.0104198795405485,5,0.31069809666867609,0.0023658823740848002,5
B13_PC10_ET,physchem10,et,ET_04,0.36395277017522648,0.072876739042905606,0.2924615523943202,0.0063749855959249003,5,0.29207302208267177,0.0021310691113377998,5
B14_PC10_XGB,physchem10,xgb,XGB_15,0.36235591599369249,0.076893607859647897,0.3290999300060834,0.0087638027380336006,5,0.32088857278671101,0.012170890075027601,5
B20_RDKIT2D_RIDGE,rdkit2d,ridge,RIDGE_07,0.39079075408962122,0.0401944786584661,0.3958594356236117,0.034361739359356699,5,0.37950855227899372,,1
B21_RDKIT2D_SVR,rdkit2d,svr,SVR_14,0.3741435999080685,0.0393193173932831,0.31946903302295943,0.0133247615623139,5,0.30478865085510742,,1
B22_RDKIT2D_RF,rdkit2d,rf,RF_01,0.36810622707326851,0.052765180247043401,0.30829883096307797,0.0039803926170810999,5,0.29202275130471439,0.0052635679725061002,5
B23_RDKIT2D_ET,rdkit2d,et,ET_01,0.35355289930781419,0.045343275711485803,0.297714064612149,0.0080478626466995006,5,0.28678400418937727,0.0036945059125069999,5
B24_RDKIT2D_XGB,rdkit2d,xgb,XGB_10,0.34528223281562548,0.0423438364605963,0.29807899352711442,0.014968100187756799,5,0.27636234960348621,0.0099342085298175006,5
B30_MORGAN_SVR,morgan_r2_2048,svr,SVR_27,0.41036085953925011,0.034188341712536298,0.40908860491195259,0.0059605678634064001,5,0.40798170680408402,,1
B31_MORGAN_RF,morgan_r2_2048,rf,RF_01,0.43017238868066859,0.0247211404485553,0.42841635542010859,0.029562422195001801,5,0.40716747600947928,0.0076218256577728002,5
B32_MORGAN_ET,morgan_r2_2048,et,ET_18,0.4254802707493574,0.028593951709441501,0.4113966096948477,0.0182912416608156,5,0.40515114133435137,0.0091311990926942008,5
B33_MORGAN_XGB,morgan_r2_2048,xgb,XGB_05,0.42966909988177948,0.0435215439034079,0.42619865830191478,0.042546299816396599,5,0.39351723826943869,0.0262860469864689,5
