experiment_id,representation,algorithm,benchmark_protocol,split_seed,model_seed,run_name,MAE,RMSE,R2,Pearson_r,Spearman_rho
B00_NULL_MEAN,none,null,tdc_compatible_5split,1,,split_seed_1,0.56387678875308378,0.6931277574954936,-0.01977813312190424,,
B00_NULL_MEAN,none,null,tdc_compatible_5split,2,,split_seed_2,0.56199753554004872,0.69090283427991417,-0.013241714931303994,,
B00_NULL_MEAN,none,null,tdc_compatible_5split,3,,split_seed_3,0.56630258723842886,0.6965061820706967,-0.029743510572799448,,
B00_NULL_MEAN,none,null,tdc_compatible_5split,4,,split_seed_4,0.56540275038642684,0.69519762577568989,-0.025877897874279299,,
B00_NULL_MEAN,none,null,tdc_compatible_5split,5,,split_seed_5,0.56422737034260895,0.69357924635314294,-0.021107089906148513,,
B01_NULL_MEDIAN,none,null,tdc_compatible_5split,1,,split_seed_1,0.58258339835164841,0.72301091796278749,-0.10960606963414787,,
B01_NULL_MEDIAN,none,null,tdc_compatible_5split,2,,split_seed_2,0.57751723571428604,0.71447878824618039,-0.083572045346750334,,
B01_NULL_MEDIAN,none,null,tdc_compatible_5split,3,,split_seed_3,0.58626414340659327,0.72946682508212579,-0.12951032214116553,,
B01_NULL_MEDIAN,none,null,tdc_compatible_5split,4,,split_seed_4,0.58277615439560448,0.72335622463667804,-0.11066620819663342,,
B01_NULL_MEDIAN,none,null,tdc_compatible_5split,5,,split_seed_5,0.58258339835164841,0.72301091796278749,-0.10960606963414787,,
B10_PC10_RIDGE,physchem10,ridge,tdc_compatible_5split,1,,split_seed_1,0.37008081776530966,0.44192317913941259,0.58545405143910623,0.77734686051130575,0.73018120690645072
B10_PC10_RIDGE,physchem10,ridge,tdc_compatible_5split,2,,split_seed_2,0.37156054770269537,0.44318830864341346,0.58307714507107589,0.77483535389559821,0.72215457290162377
B10_PC10_RIDGE,physchem10,ridge,tdc_compatible_5split,3,,split_seed_3,0.36387236695774516,0.43779941152605573,0.59315455348744839,0.78050311076168233,0.72686372810617284
B10_PC10_RIDGE,physchem10,ridge,tdc_compatible_5split,4,,split_seed_4,0.36210783427792981,0.43726204643804556,0.59415268350325201,0.78065319756498808,0.7369892281794701
B10_PC10_RIDGE,physchem10,ridge,tdc_compatible_5split,5,,split_seed_5,0.37211817731036712,0.44657497015043424,0.57668089577169912,0.77557346246750591,0.73178944328557538
B11_PC10_SVR,physchem10,svr,tdc_compatible_5split,1,,split_seed_1,0.30555437722465406,0.36906125790519817,0.71088140280109191,0.84420128812434092,0.81544749896116775
B11_PC10_SVR,physchem10,svr,tdc_compatible_5split,2,,split_seed_2,0.30805911903879246,0.36662861114457751,0.71468025974037375,0.84606467820261455,0.81915336663564919
B11_PC10_SVR,physchem10,svr,tdc_compatible_5split,3,,split_seed_3,0.31693691497401894,0.37973233376919308,0.69392048149565433,0.83597280465210011,0.80127442496050305
B11_PC10_SVR,physchem10,svr,tdc_compatible_5split,4,,split_seed_4,0.30732316598474874,0.37116949799628568,0.70756882332947157,0.84385367104559061,0.8279510748873774
B11_PC10_SVR,physchem10,svr,tdc_compatible_5split,5,,split_seed_5,0.29880334304393152,0.36524987092770506,0.71682216637078677,0.84994343000941153,0.81456212617943136
B12_PC10_RF,physchem10,rf,tdc_compatible_5split,1,,split_seed_1,0.32232684383786486,0.40734000868401021,0.64779683905013385,0.81425338558975247,0.7662137172916349
B12_PC10_RF,physchem10,rf,tdc_compatible_5split,2,,split_seed_2,0.31703274607024901,0.40160215095698837,0.65764933711756801,0.81654599322820798,0.77329436384584316
