experiment_id,representation,algorithm,benchmark_protocol,split_seed,model_seed,run_name,MAE,RMSE,R2,Pearson_r,Spearman_rho
B00_NULL_MEAN,none,null,full_train_refit,,,single,0.56548419314696297,0.69531572002836173,-0.026226462280080076,,
B01_NULL_MEDIAN,none,null,full_train_refit,,,single,0.5855907005494505,0.72825404859398968,-0.12575770503316397,,
B10_PC10_RIDGE,physchem10,ridge,full_train_refit,,,single,0.36694462391220589,0.44050559834672598,0.58810930864202748,0.77998048190853098,0.72932211211973563
B11_PC10_SVR,physchem10,svr,full_train_refit,,,single,0.29816194914869093,0.3584192595465297,0.72731466056241412,0.85491718131416949,0.82363387284030498
B12_PC10_RF,physchem10,rf,full_train_refit,,1,model_seed_1,0.31133388373640175,0.40204665185224531,0.65689107727772833,0.819642693184638,0.77719071399898276
B12_PC10_RF,physchem10,rf,full_train_refit,,2,model_seed_2,0.31068794769370667,0.40076118707540637,0.65908161581607949,0.81967174408959675,0.77663423501627171
B12_PC10_RF,physchem10,rf,full_train_refit,,3,model_seed_3,0.30819574549312112,0.39895282995570625,0.66215133056813391,0.82047260224744933,0.77640386468471922
B12_PC10_RF,physchem10,rf,full_train_refit,,4,model_seed_4,0.30899424939209835,0.40152026388562156,0.65778893415412587,0.81879783899058711,0.77540858507047983
B12_PC10_RF,physchem10,rf,full_train_refit,,5,model_seed_5,0.31427865702805269,0.40385203628840166,0.6538027077713352,0.81925873357294932,0.7748012451054781
B13_PC10_ET,physchem10,et,full_train_refit,,1,model_seed_1,0.29330056289354722,0.36989917895069319,0.70956707589525203,0.84555403679610719,0.8133000168771195
B13_PC10_ET,physchem10,et,full_train_refit,,2,model_seed_2,0.29448273500355021,0.3708413387522132,0.70808568461490573,0.84589779151937494,0.82104584529775826
B13_PC10_ET,physchem10,et,full_train_refit,,3,model_seed_3,0.29193079498878427,0.36978776702257898,0.70974200366427431,0.8461292967313746,0.81476999899273972
B13_PC10_ET,physchem10,et,full_train_refit,,4,model_seed_4,0.29186245627094998,0.36875590195608354,0.71135962997491142,0.84747387431177312,0.81870324828989427
B13_PC10_ET,physchem10,et,full_train_refit,,5,model_seed_5,0.2887885612565273,0.36538865238109791,0.71660693126358932,0.84871525083775268,0.81792537444309388
B14_PC10_XGB,physchem10,xgb,full_train_refit,,1,model_seed_1,0.32216163781768475,0.41999208410490219,0.62557803104969367,0.80558852628916544,0.75782863613279217
B14_PC10_XGB,physchem10,xgb,full_train_refit,,2,model_seed_2,0.31542434448795537,0.41856603633740991,0.62811635095046969,0.80428646365955125,0.75414969174709157
B14_PC10_XGB,physchem10,xgb,full_train_refit,,3,model_seed_3,0.31541049163000096,0.41580069003142617,0.63301397692231309,0.80737840996971344,0.76277112688246207
B14_PC10_XGB,physchem10,xgb,full_train_refit,,4,model_seed_4,0.34128415991713978,0.42608757921641716,0.61463092421799115,0.79920977485926747,0.73679911586679381
B14_PC10_XGB,physchem10,xgb,full_train_refit,,5,model_seed_5,0.31016223008077437,0.38642379287278067,0.68303826856218741,0.83024942241932453,0.78543916859755403
B20_RDKIT2D_RIDGE,rdkit2d,ridge,full_train_refit,,,single,0.37950855227899372,0.44939050755755794,0.57132623835262186,0.78139086742484798,0.6911588957168765
B21_RDKIT2D_SVR,rdkit2d,svr,full_train_refit,,,single,0.30478865085510742,0.37900888822958312,0.69508562290048448,0.85311638884917496,0.83216949881812141
B22_RDKIT2D_RF,rdkit2d,rf,full_train_refit,,1,model_seed_1,0.29844921538408181,0.36415011452529267,0.71852487901863737,0.84908199361716807,0.81778045102828656
B22_RDKIT2D_RF,rdkit2d,rf,full_train_refit,,2,model_seed_2,0.29382592367511662,0.35957662295907367,0.72555077333513629,0.85260412231099136,0.82680123766472569
B22_RDKIT2D_RF,rdkit2d,rf,full_train_refit,,3,model_seed_3,0.28598575423094663,0.35252309381385522,0.73621247168552917,0.85855951566343369,0.83051110644922899
B22_RDKIT2D_RF,rdkit2d,rf,full_train_refit,,4,model_seed_4,0.28722369258602881,0.357771160886666,0.72829991578096676,0.85341574332534142,0.82982715858946832
B22_RDKIT2D_RF,rdkit2d,rf,full_train_refit,,5,model_seed_5,0.29462917064739796,0.35954463674038306,0.72559959854774592,0.85223439877141438,0.82745257115954285
B23_RDKIT2D_ET,rdkit2d,et,full_train_refit,,1,model_seed_1,0.28294974606257622,0.35540238796330109,0.73188581244296902,0.85703244936648726,0.84049116195389906
B23_RDKIT2D_ET,rdkit2d,et,full_train_refit,,2,model_seed_2,0.29288445387209988,0.36306900517085544,0.72019371642791152,0.85039753689683206,0.83309834361552459
B23_RDKIT2D_ET,rdkit2d,et,full_train_refit,,3,model_seed_3,0.28671787695238116,0.35649225244682303,0.73023891203906233,0.85529684472772305,0.83401957950826333
B23_RDKIT2D_ET,rdkit2d,et,full_train_refit,,4,model_seed_4,0.28532622930067175,0.35470905685809362,0.73293088467733658,0.85681749738511059,0.83344576850460594
B23_RDKIT2D_ET,rdkit2d,et,full_train_refit,,5,model_seed_5,0.28604171475915763,0.35472072700598917,0.73291331090928558,0.85616414761560955,0.83011470302207846
B24_RDKIT2D_XGB,rdkit2d,xgb,full_train_refit,,1,model_seed_1,0.27420933761784483,0.34229731701408361,0.75129409152679705,0.86787696584806329,0.85346423710142838
B24_RDKIT2D_XGB,rdkit2d,xgb,full_train_refit,,2,model_seed_2,0.26834126861545443,0.34691623522357684,0.74453679163994246,0.86301190394523353,0.84223692391080995
B24_RDKIT2D_XGB,rdkit2d,xgb,full_train_refit,,3,model_seed_3,0.29212098597552966,0.36478971733723731,0.71753523008874343,0.84814572559753776,0.82302855734208125
B24_RDKIT2D_XGB,rdkit2d,xgb,full_train_refit,,4,model_seed_4,0.26800893535810211,0.33760809575963174,0.75806159264440787,0.8712447760451707,0.85200661061313399
B24_RDKIT2D_XGB,rdkit2d,xgb,full_train_refit,,5,model_seed_5,0.27913122045049993,0.34847973112413139,0.74222893925593703,0.86171892904330472,0.83534113835204649
B30_MORGAN_SVR,morgan_r2_2048,svr,full_train_refit,,,single,0.40798170680408402,0.48725698207570556,0.49604094290297607,0.72357613903637574,0.63730811739856896
B31_MORGAN_RF,morgan_r2_2048,rf,full_train_refit,,1,model_seed_1,0.40585583663318486,0.50413512689961049,0.46052287938430858,0.71941852883659918,0.68100083757838903
B31_MORGAN_RF,morgan_r2_2048,rf,full_train_refit,,2,model_seed_2,0.40586388797812134,0.50287353570165916,0.46321956904173589,0.71746031941598298,0.69725563276111979
B31_MORGAN_RF,morgan_r2_2048,rf,full_train_refit,,3,model_seed_3,0.40591431778725134,0.50676488468257663,0.45487997016804926,0.71480086613275684,0.67199616692146935
B31_MORGAN_RF,morgan_r2_2048,rf,full_train_refit,,4,model_seed_4,0.41958729128091493,0.51932202818654183,0.42753017244810099,0.70278696839677157,0.66806118482913723
B31_MORGAN_RF,morgan_r2_2048,rf,full_train_refit,,5,model_seed_5,0.39861604636792408,0.49468637821927675,0.4805556627578671,0.72551084372377539,0.67674118110714143
B32_MORGAN_ET,morgan_r2_2048,et,full_train_refit,,1,model_seed_1,0.39351356756146816,0.47847552472799337,0.51404218857988915,0.74752325963930877,0.72142679795121634
B32_MORGAN_ET,morgan_r2_2048,et,full_train_refit,,2,model_seed_2,0.40676737117055817,0.49539794161592299,0.47906023686923993,0.72788798738656912,0.66465551933335587
B32_MORGAN_ET,morgan_r2_2048,et,full_train_refit,,3,model_seed_3,0.39814863853365384,0.48085799973688542,0.50919067682592023,0.74532742371197036,0.70695633336704866
B32_MORGAN_ET,morgan_r2_2048,et,full_train_refit,,4,model_seed_4,0.41453746190579105,0.50290294611842834,0.46315678030176644,0.71604754290998496,0.64457029097763197
B32_MORGAN_ET,morgan_r2_2048,et,full_train_refit,,5,model_seed_5,0.41278866750028559,0.50176202491576205,0.46558985825813082,0.71985478966147243,0.66574015559063004
