experiment_id,benchmark_protocol,split_seed,target_bin,n_bin,MAE_bin
B24_RDKIT2D_XGB,tdc_compatible_5split,1,Q1,61,0.37414032318865659
B24_RDKIT2D_XGB,tdc_compatible_5split,1,Q2,47,0.24791909485395713
B24_RDKIT2D_XGB,tdc_compatible_5split,1,Q3,44,0.30098779655720115
B24_RDKIT2D_XGB,tdc_compatible_5split,1,Q4,30,0.2946517029817709
B24_RDKIT2D_XGB,tdc_compatible_5split,2,Q1,61,0.29111218004470585
B24_RDKIT2D_XGB,tdc_compatible_5split,2,Q2,47,0.22213472182526284
B24_RDKIT2D_XGB,tdc_compatible_5split,2,Q3,44,0.28662934456051942
B24_RDKIT2D_XGB,tdc_compatible_5split,2,Q4,30,0.29695977423645026
B24_RDKIT2D_XGB,tdc_compatible_5split,3,Q1,61,0.33561396168883273
B24_RDKIT2D_XGB,tdc_compatible_5split,3,Q2,47,0.28114843379542592
B24_RDKIT2D_XGB,tdc_compatible_5split,3,Q3,44,0.29850438925628686
B24_RDKIT2D_XGB,tdc_compatible_5split,3,Q4,30,0.29894184101765958
B24_RDKIT2D_XGB,tdc_compatible_5split,4,Q1,61,0.31683153483926746
B24_RDKIT2D_XGB,tdc_compatible_5split,4,Q2,47,0.24719251155265662
B24_RDKIT2D_XGB,tdc_compatible_5split,4,Q3,44,0.32160400473813161
B24_RDKIT2D_XGB,tdc_compatible_5split,4,Q4,30,0.29053990395019547
B24_RDKIT2D_XGB,tdc_compatible_5split,5,Q1,61,0.36407981325863692
B24_RDKIT2D_XGB,tdc_compatible_5split,5,Q2,47,0.20164988956039118
B24_RDKIT2D_XGB,tdc_compatible_5split,5,Q3,44,0.30975006812647049
B24_RDKIT2D_XGB,tdc_compatible_5split,5,Q4,30,0.33532052275817886
