experiment_id,representation,algorithm,mean_validation_MAE,sd_validation_MAE,primary_MAE_mean,primary_MAE_sd
B00_NULL_MEAN,none,null,0.65730489565097372,0.022200691049933802,0.56436140645211941,0.0016350294887601
B01_NULL_MEDIAN,none,null,0.63421733780219747,0.0109754359215549,0.58234486604395597,0.0031211598249338002
B10_PC10_RIDGE,physchem10,ridge,0.45593374445609652,0.026676608184471502,0.3679479488028094,0.0046289337775404999
B11_PC10_SVR,physchem10,svr,0.38869190235627321,0.0524153612226093,0.30733538405322902,0.0064938633867130001
B12_PC10_RF,physchem10,rf,0.36800001624379353,0.067972104661752603,0.31676604990453472,0.0104198795405485
B13_PC10_ET,physchem10,et,0.36395277017522643,0.072876739042905606,0.2924615523943202,0.0063749855959249003
B14_PC10_XGB,physchem10,xgb,0.36235591599369238,0.0768936078596478,0.3290999300060834,0.0087638027380336006
B20_RDKIT2D_RIDGE,rdkit2d,ridge,0.39079075408962122,0.0401944786584661,0.3958594356236117,0.034361739359356602
B21_RDKIT2D_SVR,rdkit2d,svr,0.3741435999080685,0.0393193173932831,0.31946903302295943,0.0133247615623139
B22_RDKIT2D_RF,rdkit2d,rf,0.36810622707326851,0.052765180247043401,0.30829883096307792,0.0039803926170810001
B23_RDKIT2D_ET,rdkit2d,et,0.35355289930781408,0.045343275711485803,0.297714064612149,0.0080478626466995006
B24_RDKIT2D_XGB,rdkit2d,xgb,0.34528223281562542,0.0423438364605963,0.29807899352711442,0.014968100187756701
B30_MORGAN_SVR,morgan_r2_2048,svr,0.41036085953925011,0.034188341712536201,0.40908860491195248,0.0059605678634064001
B31_MORGAN_RF,morgan_r2_2048,rf,0.43017238868066848,0.0247211404485553,0.42841635542010847,0.029562422195001801
B32_MORGAN_ET,morgan_r2_2048,et,0.4254802707493574,0.028593951709441501,0.4113966096948477,0.0182912416608156
B33_MORGAN_XGB,morgan_r2_2048,xgb,0.42966909988177943,0.0435215439034079,0.42619865830191472,0.042546299816396502
